# work/pieces.csv — master piece index for the build
#
# Schema: id, plate, section, bucket, status, notes
#
# id      Three-digit zero-padded piece number; letter variants append a-z
#         (e.g., 004, 092a, 112a, 121). Matches source/pieces/<id>.png.
# plate   Letter A-M of the printed plate where the piece primarily appears.
#         Some pieces appear on multiple plates as duplicate copies; this
#         column records the primary detailed-description plate from
#         source/transcriptions/embedded-labels.md. Notes column flags duplicates.
# section Functional group: framework | motor-wheel | middle-wheel | escapement
#         | anchor-pendulum | hands | reduction-gear | weight | face-case | reference
#         (book sections II.A-F, refined). Used by the viewer's hierarchical
#         Object3D groups per work/SPEC-3D-VIEWER.md.
# bucket  Tracing strategy: auto-trace-clean | auto-trace-edit | hand-trace.
#         Populated only for plate D from M1 (gen-1 era); blank for all other
#         pieces until each plate's tracing pass assigns one.
# status  pending | captured | traced. 'pending' = not yet in source/pieces/;
#         flipped to 'captured' by the ingest skill once source/pieces/<id>.png
#         lands; 'traced' once work/pieces/<id>/piece-<id>.svg ships.
# notes   Free text. Cross-references, glue-mate pieces, partner pieces,
#         duplicate copies on other plates, special instructions.
#
# Generated 2026-04-30 from source/transcriptions/embedded-labels.md +
# instructions.md, replacing the gen-1 11-row plate-D bbox table. Bbox columns
# are gone: under the chunk-and-crop onboarding model, source/pieces/ already
# holds per-piece crops, so the pipeline reads them directly without slicing.
id,plate,section,bucket,status,notes
001,A,framework,,pending,"U-channel frame strip (long horizontal frame run, paired with 2/6/7 across panels A and B)"
002,A,framework,,pending,U-channel frame strip
006,A,framework,,pending,U-channel frame strip
007,A,framework,,pending,U-channel frame strip
110,A,face-case,,pending,Face-frame end rail; X/Y end-match markers to 111/112
003,B,framework,,pending,Vertical frame strip (paired with 1)
005,B,framework,,pending,Vertical frame strip (paired with 2)
008,B,framework,,pending,Vertical frame strip (paired with 6)
012,B,framework,,pending,Bracket piece (12/13/14 top row)
013,B,framework,,pending,Bracket piece
014,B,framework,,pending,Bracket piece
015,B,framework,,pending,Bracket piece (15/16/17 bottom row)
016,B,framework,,pending,Bracket piece
017,B,framework,,pending,Bracket piece
093,B,anchor-pendulum,,pending,"Pendulum-bob inner brace; printed as 6 copies, glued in pairs to make 3 braces"
113,B,face-case,,pending,Cross-shaped brace piece for face frame (1 of 4: 113-116)
114,B,face-case,,pending,Cross-shaped brace piece for face frame
115,B,face-case,,pending,Cross-shaped brace piece for face frame
116,B,face-case,,pending,Cross-shaped brace piece for face frame
009,C,framework,,pending,Long vertical frame strip (paired with anchor beam)
011,C,framework,,pending,Long vertical frame strip
020,C,framework,,pending,Long vertical frame strip
021,C,framework,,pending,Folded bracket for wall-bracket assembly
022,C,framework,,pending,Folded bracket; + center mark
023,C,framework,,pending,Wall-bracket box development; tabs to 25
024,C,framework,,pending,Wall-bracket box development; tabs to 25
025,C,framework,,pending,Tall wall-bracket main panel
027,C,framework,,pending,Pendulum-support spacer (small piece carrying '28' label); also appears on plate G
028,C,framework,,pending,Pendulum-support spacer
004,D,framework,hand-trace,pending,Long main frame column (front center); axle holes; positioning guides for 91/92
010,D,framework,hand-trace,pending,Long main frame column (back center)
018,D,framework,auto-trace-edit,pending,Back-of-frame L-bracket; pinches pendulum blade
019,D,framework,auto-trace-edit,pending,Back-of-frame L-bracket; pinches pendulum blade
026,D,framework,auto-trace-clean,pending,Wall-bracket wedge; glue to strong cardboard
029,D,framework,auto-trace-edit,pending,Cross-box flat development (connects 4/10)
030,D,framework,auto-trace-edit,pending,Small box development
031,D,framework,auto-trace-clean,pending,Flat oval/leaf tongue; glue back to back to 32
032,D,framework,auto-trace-clean,pending,Flat elongated oval (pairs with 31); also appears on plate G
091,D,hands,auto-trace-clean,pending,Small square spacer; glue to 1mm cardboard; aligns to piece 4
092,D,hands,auto-trace-clean,pending,Disc spacer; glue to 1mm cardboard; aligns to piece 4
039,E,motor-wheel,,pending,Accordion-pleated pulley column (glues to 38)
060,E,escapement,,pending,Pinion for escapement wheel (rolled cylinder)
074,E,anchor-pendulum,,pending,Thin strip (hook form) at bottom of plate E; small fragment also visible on H
078,E,hands,,pending,Hour-hand wheel; glue back to back to 79 before cutting teeth
079,E,hands,,pending,Hour-hand wheel partner to 78
082,E,reduction-gear,,pending,Reduction-gear accordion strip
083,E,reduction-gear,,pending,Reduction-gear accordion strip
103,E,reduction-gear,,pending,Small reduction gear with central spiral pattern
104,E,weight,,pending,Weight-cylinder lid disc; glue back to back to 106
105,E,weight,,pending,Sawtooth gear-teeth strip
106,E,weight,,pending,Weight-cylinder lid disc; partner to 104
107,E,reference,,pending,Axle-dimension reference lines + legend (not a build piece)
111,E,face-case,,pending,Face-frame horizontal rail
112,E,face-case,,pending,Face-frame horizontal rail (mirror partner of 112a)
112a,E,face-case,,pending,Face-frame horizontal rail (mirror partner of 112). LETTER VARIANT.
038,F,motor-wheel,,pending,Large motor-wheel front face; central star cut out
046,F,motor-wheel,,pending,"Pulley plate (paired with 47, glue back to back)"
047,F,motor-wheel,,pending,Pulley plate; partner to 46
048,F,motor-wheel,,pending,Plain disc; glue to double cardboard
049,F,motor-wheel,,pending,Small disc (plate cap); also appears on plate G
058,F,escapement,,pending,Escapement-wheel disc; glue back to back to 59 before cutting
059,F,escapement,,pending,Escapement-wheel disc partner to 58
061,F,escapement,,pending,Star-cutout disc (pinion-stack)
062,F,escapement,,pending,Star-cutout disc
063,F,escapement,,pending,Star-cutout disc
064,F,escapement,,pending,Star-cutout disc
065,F,anchor-pendulum,,pending,Zig-zag anchor arm; 'axe R' label = rear axle
066,F,anchor-pendulum,,pending,Pendulum-blade tube/casing development
067,F,anchor-pendulum,,pending,Rear plate of the anchor; flap labels a-f
073,F,hands,,pending,Star-shaped hands-assembly wheel; cut out center
075,F,hands,,pending,Star-shaped hands-assembly wheel
076,F,hands,,pending,Small rectangular piece for minute-hand assembly
077,F,hands,,pending,Minute-hand holder tube development
080,F,hands,,pending,Small rectangle ('Push into wheel 78'); 'rear' label on one face
081,F,reduction-gear,,pending,Reduction-gear stage piece
084,F,reduction-gear,,pending,Reduction-gear stage piece
085,F,reduction-gear,,pending,Rectangular strip; +++ along length
086,F,reduction-gear,,pending,Reduction-gear stage piece
087,F,reduction-gear,,pending,Reduction-gear disc; cut out center
088,F,reduction-gear,,pending,Pulley/gear stack disc
089,F,reduction-gear,,pending,Pulley disc for hands mechanism; also appears on plate H
090,F,reduction-gear,,pending,Pulley/gear stack disc
120,F,reference,,pending,Axle-mount cardboard square (model for all mounting squares)
033,G,motor-wheel,,pending,Large disc with internal triangle (motor-wheel back face); a35 corner labels
034,G,motor-wheel,,pending,Long zig-zag teeth strip (motor-wheel teeth); engages between 33 and 36
035,G,motor-wheel,,pending,Long zig-zag teeth strip; folds into cone braced by 33's triangle
036,G,motor-wheel,,pending,Large motor-wheel disc with crown-band of vertical hatching (teeth band)
037,G,motor-wheel,,pending,Long thin strip with vertical-hatch (motor-wheel tooth strip)
040,G,motor-wheel,,pending,"Pulley cylinder; glue ends together, slip over 39 with arrow toward motor wheel"
041,G,motor-wheel,,pending,Pulley shaft; marked end glues to 40 (a/b alignment)
042,G,motor-wheel,,pending,Pulley drum; covers wrapped end of 41; arrow toward motor wheel
043,G,motor-wheel,,pending,"Pulley throat (with 44, per Fig. 13)"
044,G,motor-wheel,,pending,Pulley bearing disc; pairs with 43 for pulley throat
045,G,motor-wheel,,pending,Short straight strip; wraps around cylinder between 43 and 44
050,G,middle-wheel,,pending,Large disc (back face of middle wheel); glue back to back with 51
051,G,middle-wheel,,pending,Middle-wheel disc; partner to 50
052,G,middle-wheel,,pending,Middle-wheel disc; glues to 51
054,G,middle-wheel,,pending,Star-cut pinion piece
