# work/pieces.csv — master piece index for the build
#
# Schema: id, plate, section, bucket, status, notes
#
# id      Three-digit zero-padded piece number; letter variants append a-z
#         (e.g., 004, 092a, 112a, 121). Matches source/pieces/<id>.png.
# plate   Letter A-M of the printed plate where the piece primarily appears.
#         Some pieces appear on multiple plates as duplicate copies; this
#         column records the primary detailed-description plate from
#         source/transcriptions/embedded-labels.md. Notes column flags duplicates.
# section Functional group: framework | motor-wheel | middle-wheel | escapement
#         | anchor-pendulum | hands | reduction-gear | weight | face-case | reference
#         (book sections II.A-F, refined). Used by the viewer's hierarchical
#         Object3D groups per work/SPEC-3D-VIEWER.md.
# bucket  Tracing strategy: auto-trace-clean | auto-trace-edit | hand-trace.
#         Populated only for plate D from M1 (gen-1 era); blank for all other
#         pieces until each plate's tracing pass assigns one.
# status  pending | captured | reviewed | traced.
#         'pending'  = not yet in source/pieces/.
#         'captured' = source/pieces/<id>.png exists, but the PNG has not yet
#                      been through the human review / cleanup pass.
#         'reviewed' = source/pieces/<id>.png is the build-grade artifact:
#                      Alan has tightened the crop, masked the background,
#                      corrected orientation if needed, and signed off on it
#                      as the canonical input for the trace pipeline. Every
#                      piece must pass through this gate before tracing.
#         'traced'   = work/pieces/<id>/piece-<id>.svg ships.
#         Status flips are deliberate manual edits; the M0.5.2 ingest skill
#         audits and reports but never writes to this file (read-only contract
#         per CLAUDE.md "Architectural Decisions").
# notes   Free text. Cross-references, glue-mate pieces, partner pieces,
#         duplicate copies on other plates, special instructions.
#
# Generated 2026-04-30 from source/transcriptions/embedded-labels.md +
# instructions.md, replacing the gen-1 11-row plate-D bbox table. Bbox columns
# are gone: under the chunk-and-crop onboarding model, source/pieces/ already
# holds per-piece crops, so the pipeline reads them directly without slicing.
id,plate,section,bucket,status,notes
001,A,framework,,reviewed,"U-channel frame strip (long horizontal frame run, paired with 2/6/7 across panels A and B)"
002,A,framework,,reviewed,U-channel frame strip
006,A,framework,,captured,U-channel frame strip
007,A,framework,,captured,U-channel frame strip
110,A,face-case,,captured,Face-frame end rail; X/Y end-match markers to 111/112
003,B,framework,,captured,Vertical frame strip (paired with 1)
005,B,framework,,captured,Vertical frame strip (paired with 2)
008,B,framework,,captured,Vertical frame strip (paired with 6)
012,B,framework,,captured,"Bracket piece; canonical scan for 012-017 (all six brackets are identical drawings)"
013,B,framework,,captured,"Bracket piece; clone of 012 (identical drawing)"
014,B,framework,,captured,"Bracket piece; clone of 012 (identical drawing)"
015,B,framework,,captured,"Bracket piece; clone of 012 (identical drawing; previous separate scan reconciled 2026-05-05)"
016,B,framework,,captured,"Bracket piece; clone of 012 (identical drawing)"
017,B,framework,,captured,"Bracket piece; clone of 012 (identical drawing)"
093a,B,anchor-pendulum,,traced,"Pendulum-bob inner brace half; pairs with 093b to form one brace assembly. Replaces former row 093 (split 2026-05-05); brace template instantiated 6 times in piece 94 with per-instance a/b orientations. Book wording: 'six pieces designated 93' glued 'to form three separate braces' — build deviates to 6 instances."
093b,B,anchor-pendulum,,traced,"Pendulum-bob inner brace half; pairs with 093a. See 093a notes."
113,B,face-case,,captured,Cross-shaped brace piece for face frame (1 of 4: 113-116)
114,B,face-case,,captured,Cross-shaped brace piece for face frame
115,B,face-case,,captured,Cross-shaped brace piece for face frame
116,B,face-case,,captured,Cross-shaped brace piece for face frame
009,C,framework,,captured,Long vertical frame strip (paired with anchor beam)
011,C,framework,,captured,Long vertical frame strip
020,C,framework,,captured,Long vertical frame strip
021,C,framework,,captured,Folded bracket for wall-bracket assembly
022,C,framework,,captured,Folded bracket; + center mark
